unnamed: 0,model,colour,memory,ram,battery,rear_camera,front_camera,ai_lens,height,processor,prize,ram_num,memory_num,battery_num,rear_camera_num,front_camera_num,height_num
489,Infinix Note 12 5G,Force Black,64,6,5000,50MP,16MP,1,17.02,Mediatek Dimensity 810 5G,14999,6.0,64.0,5000.0,50.0,16.0,17.02
491,MOTOROLA g42,Metallic Rose,64,4,5000,50MP,16MP,0,16.43,Qualcomm Snapdragon 680,13999,4.0,64.0,5000.0,50.0,16.0,16.43
493,SAMSUNG Galaxy A34 5G,Awesome Violet,128,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",30999,8.0,128.0,5000.0,48.0,13.0,16.76
494,SAMSUNG Galaxy S21 FE 5G,Olive Green,128,8,4500,12MP,32MP,0,16.26,snapdragon 888,32999,8.0,128.0,4500.0,12.0,32.0,16.26
498,REDMI Note 11T 5G,Stardust White,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,19397,8.0,128.0,5000.0,50.0,16.0,16.76
501,vivo V25 5G,Surfing Blue,128,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,27999,8.0,128.0,4500.0,64.0,50.0,16.36
502,vivo Y16,Steller Black,32,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,10989,3.0,32.0,5000.0,13.0,5.0,16.54
503,vivo Y16,Drizzling Gold,32,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,10989,3.0,32.0,5000.0,13.0,5.0,16.54
504,realme X3 SuperZoom,Glacier Blue,256,3,4200,64MP,16MP,0,16.69,Qualcomm Snapdragon 855,17999,3.0,256.0,4200.0,64.0,16.0,16.69
505,OPPO F21 Pro,Sunset Orange,128,8,4500,64MP,32MP,0,16.33,Qualcomm Snapdragon 680,20999,8.0,128.0,4500.0,64.0,32.0,16.33
506,REDMI Note 11S,Space Black,128,6,5000,108MP,16MP,0,16.33,Mediatek Dimensity 810,16990,6.0,128.0,5000.0,108.0,16.0,16.33
513,Infinix HOT 12 Play,Horizon Blue,64,4,6000,13MP,8MP,0,17.32,Unisoc T610,8999,4.0,64.0,6000.0,13.0,8.0,17.32
516,vivo V23 5G,Stardust Black,128,8,4200,64MP,16MP,0,16.36,Mediatek Dimensity 920,29990,8.0,128.0,4200.0,64.0,16.0,16.36
517,OnePlus 8,Interstellar Glow,256,8,4300,48MP,32MP,0,16.64,Qualcomm Snapdragon 865,38920,8.0,256.0,4300.0,48.0,32.0,16.64
518,vivo Y1s,Aurora Blue,32,3,4030,13MP,5MP,0,15.8,MediaTek Helio P35,9387,3.0,32.0,4030.0,13.0,5.0,15.8
519,OnePlus 8,Glacial Green,128,6,4300,48MP,16MP,0,16.64,Qualcomm Snapdragon 865,29790,6.0,128.0,4300.0,48.0,16.0,16.64
520,OnePlus Nord,Blue Marble,128,8,4115,48MP,13MP,0,16.36,QualcommÂ® Snapdragonâ_x0084_¢ 765G,24999,8.0,128.0,4115.0,48.0,13.0,16.36
521,OPPO A77s,Starry Black,128,8,5000,50MP,8MP,0,16.66,Qualcomm Snapdragon 680,16499,8.0,128.0,5000.0,50.0,8.0,16.66
